sentence_id,John,graduated,Yale,John_first_index,John_last_index,graduated_first_index,graduated_last_index,Yale_first_index,Yale_last_index,sentence_text,label
2277207,Alfred Junior,graduated,Yale University,0,1,3,3,5,6,"Alfred Junior was graduated from Yale University in 1886 , where he was a member of Skull and Bones .",1
2942651,Streisand,graduated,American University,0,0,2,2,8,9,"Streisand was graduated "" cum laude "" from American University , Washington College of Law , a member of the Honor Society , and an editor of the Law Review .",1
7583939,Jack,graduated,Oxford University,0,0,10,10,14,15,"Jack , as he liked to be called , was graduated in jurisprudence from Oxford University .",1
17785233,Konoe,graduated,Gakushuin University,0,0,2,2,6,7,Konoe was graduated in 1962 from Gakushuin University in Tokyo Japan .,1
17792008,Ivan Yakovlev,graduated,the Kazan University,3,4,6,6,8,10,"In 1875 , Ivan Yakovlev was graduated from the Kazan University .",1
19431657,Guynn,graduated,Brigham Young University,3,3,5,5,7,9,"In 1981 , Guynn was graduated from Brigham Young University , and in 1984 from the University of Virginia School of Law with a J.D.",1
27233200,Tang,graduated,Tsinghua University,3,3,5,5,7,8,"In 1952 , Tang was graduated from Tsinghua University and assigned to Chinese Academy of Science .",1
39925292,Serageldin,graduated,Cairo University,0,0,2,2,10,11,Serageldin was graduated with First class honors in 1964 from Cairo University from which he holds a Bachelor of Science Degree in Engineering .,1
45225076,Weinberg,graduated,Cornell University,0,0,2,2,7,8,Weinberg was graduated summa cum laude from Cornell University .,1
51780774,Ling Wancheng,graduated,Jilin University,0,1,3,3,10,11,Ling Wancheng was graduated with a degree in economics from Jilin University .,1
57317145,Clara,graduated,Stanford University,0,0,3,3,5,6,"Clara was also graduated from Stanford University , where she studied international relations , and has an MBA degree from Harvard Business School .",1
60775593,Hundert,graduated,Yale University,8,8,10,10,12,13,"Born in Woodbridge Township , New Jersey , Hundert was graduated from Yale University , summa cum laude , in 1978 with a degree in mathematics and the history of science and medicine , receiving Yale 's annual Russell Henry Chittenden Prize “ to the graduating senior with highest standing in mathematics and the natural sciences .",1
66768676,Frank Howard,graduated,Heidelberg University,0,1,3,3,5,6,Frank Howard was graduated from Heidelberg University with a medical degree and then took up law to become an attorney .,1
69731693,Ruiying,graduated,Communication University of China,0,0,2,2,4,7,"Ruiying was graduated from Communication University of China in 1983 , majoring in broadcasting .",1
77947541,Aichele,graduated,Cornell University,0,0,2,2,9,10,Aichele was graduated in 1970 with a B.A. from Cornell University and in 1977 at Temple University School of Law .,1
78123300,Raymonds,graduated,St. Louis University,0,0,2,2,4,6,"Raymonds was graduated from St. Louis University in January 1949 , with a bachelor 's degree in education .",1
80884445,Miller,graduated,Vanderbilt University,0,0,2,2,15,16,Miller was graduated Magna Cum Laude with a Bachelor of Arts degree in economics from Vanderbilt University in 1988 .,1
88452157,William A. Osborn,graduated,Northwestern University,0,2,4,4,6,7,"William A. Osborn was graduated from Northwestern University in 1969 , and from its Kellogg School of Management in 1973 .",1
91160595,David Rubinson,graduated,Columbia University,0,1,3,3,5,6,David Rubinson was graduated from Columbia University in 1963 with a bachelor 's degree in English .,1
95797849,Garin,graduated,Harvard University,0,0,2,2,4,5,"Garin was graduated from Harvard University , class of 1975 .",1
103854631,Chan,graduated,the City University of Hong Kong,0,0,2,2,4,9,Chan was graduated from the City University of Hong Kong with a Bachelor of Social Work .,1
105497552,Evgeni Babsky,graduated,Moscow State University,0,1,3,3,5,7,Evgeni Babsky was graduated from Moscow State University in 1924 .,1
107254062,Whitney,graduated,Yale University,9,9,11,11,13,14,"Educated at Williston Seminary , Easthampton , Massachusetts , Whitney was graduated from Yale University in 1863 , where he was a member of Skull and Bones , and then studied law at Harvard .",1
117728704,Lester,graduated,Mercer University,6,6,8,8,10,11,"Born near Waynesboro , Georgia , Lester was graduated from Mercer University , Macon , Georgia , in 1857 .",1
117874535,William Wright,graduated,Transylvania University,0,1,3,3,5,6,William Wright was graduated from Transylvania University in Lexington .,1
133280035,Hamlin,graduated,Yale University,0,0,2,2,4,5,Hamlin was graduated from Yale University in 1974 with dual Bachelor of Arts degrees in drama and psychology .,1
136052354,Roy,graduated,Calcutta University,0,0,2,2,4,5,Roy was graduated from Calcutta University in 1976 .,1
137177578,Sergey Kara - Murza,graduated,Moscow State University,0,3,5,5,11,13,Sergey Kara - Murza was graduated with degree in chemistry from Moscow State University in 1961 .,1
163246967,Bertha Lamme,graduated,Ohio State University,9,10,13,13,15,17,"In the same year of Morgan 's accomplish , Bertha Lamme was also graduated from Ohio State University in mechanical engineering .",1
181646700,David Syrett,graduated,Columbia University,31,32,34,34,36,37,"The son of the well - known historian of the early American republic and editor of the "" Papers of Alexander Hamilton "" , Harold Syrett ( d. 1984 ) , David Syrett was graduated from Columbia University in 1961 .",1
190647684,Williams,graduated,Louisiana State University,0,0,2,2,4,6,"Williams was graduated from Louisiana State University ( B.M. , 1947 ) , where he was a pupil of Helen M. Gunderson ( 1909–1997 ) .",1
