sentence_id,John,educated,Yale,John_first_index,John_last_index,educated_first_index,educated_last_index,Yale_first_index,Yale_last_index,sentence_text,label
1189681,Joliffe,educated,Clare College,0,0,1,1,3,4,"Joliffe educated at Clare College , Cambridge .",1
4305084,Jagoe,educated,Trinity College,6,6,7,7,9,10,"Born on 2 January 1889 , Jagoe educated at Trinity College , Dublin .",1
28139970,Pacheco,educated,the University College of Northern Denmark,0,0,1,1,5,10,Pacheco educated Sports management at the University College of Northern Denmark .,1
28437569,Gibson,educated,Lincoln College,0,0,1,1,3,4,"Gibson educated at Lincoln College , Oxford , graduating BA in 1570 : he was a Fellow there from 1571 to 1583 .",1
40833323,Pydcocke,educated,Trinity College,0,0,1,1,3,4,"Pydcocke educated at Trinity College , Dublin .",1
40848613,Hearne,educated,Trinity College,0,0,1,1,3,4,"Hearne educated at Trinity College , Dublin .",1
50723668,Reeves,educated,Trinity College,0,0,1,1,3,4,"Reeves educated at Trinity College , Dublin",1
60800684,Kenny,educated,Trinity College,0,0,1,1,3,4,"Kenny educated at Trinity College , Dublin .",1
87422833,Adams,educated,Bishop Feild College,0,0,1,1,3,5,Adams educated at Bishop Feild College and Dalhousie University where he received his law degree in 1952 .,1
88773782,Arne,educated,Eton College,24,24,25,25,27,28,"His father earned enough money not only to rent 31 King Street , a large house in Covent Garden , but also to have Arne educated at Eton College .",1
95727791,Jones,educated,Trinity College,0,0,1,1,3,4,"Jones educated at Trinity College , Dublin .",1
101107996,Brown,educated,Trinity College,0,0,1,1,3,4,"Brown educated at Trinity College , Dublin .",1
101403269,Henry Weyland Powell,educated,Trinity College,0,2,13,13,15,16,"Henry Weyland Powell ( 4 April 1787 - 17 July 1840 ) , educated at Trinity College , Cambridge 1807 , joined the Grenadier Guards in 1808 , served in the Peninsular War , and as a lieutenant at Quatre Bras and Waterloo .",1
116096885,Sledge,educated,Epsom College,0,0,1,1,3,4,"Sledge educated at Epsom College and Peterhouse , Cambridge .",1
172442660,Roger Gamelyn Pettiward,educated,Eton College,0,2,29,29,31,32,"Roger Gamelyn Pettiward ( 1906–1942 ) , eldest son and heir , a well - respected cartoonist in Punch Magazine who used the pseudonym "" Paul Crum "" , educated at Eton College , Christ Church , Oxford , where he studied agriculture , and as an art student at the Vienna State Academy , the Munich State Academy and Slade School of Art .",1
